theta_arcsec,intensity,enclosed_fraction
4.305,6.051091878773799E-06,0.9953096872853597
4.3100000000000005,6.024432786101284E-06,0.9953191177787755
4.315,5.998354826003682E-06,0.9953285065435319
4.32,5.972422510979686E-06,0.9953378740397414
4.325,5.9462041692407955E-06,0.9953472057972934
4.33,5.92055921781949E-06,0.9953565110625331
4.335,5.895056974079025E-06,0.995365786591354
4.34,5.869270514700789E-06,0.9953750300519716
4.345,5.84404984378142E-06,0.995384249881297
4.3500000000000005,5.81896901284409E-06,0.995393431627344
4.355,5.79360577737792E-06,0.9954025963278452
4.36,5.768800865711141E-06,0.9954117171117735
4.365,5.744132994129055E-06,0.9954208275297151
4.37,5.719184528543101E-06,0.9954298877688708
4.375,5.694787056170255E-06,0.9954389445189559
4.38,5.6705238899366955E-06,0.99544794429908
4.385,5.645981939042712E-06,0.995456944079204
4.39,5.621983781834091E-06,0.9954658877768797
4.3950000000000005,5.5981172609791525E-06,0.9954748278369914
4.4,5.57397376306198E-06,0.9954837195381139
4.405,5.550366987408605E-06,0.995492600286758
4.41,5.526889240758154E-06,0.9955014403771568
4.415,5.503136322373398E-06,0.9955102618958164
4.42,5.479913180050992E-06,0.9955190510968699
4.425,5.456816520146394E-06,0.9955278141114727
4.43,5.433446491028092E-06,0.9955365531183645
4.4350000000000005,5.410599414224117E-06,0.9955452580288504
4.44,5.3878763323743765E-06,0.9955539473423433
4.445,5.364881680580494E-06,0.9955625942259899
4.45,5.342403277060971E-06,0.9955712342401251
4.455,5.320046438588661E-06,0.9955798234944737
4.46,5.2974198256874355E-06,0.9955884127488225
4.465,5.2753028741200264E-06,0.9955969471069384
4.47,5.253305113705036E-06,0.9956054794391413
4.4750000000000005,5.231039370222242E-06,0.9956139662959573
4.48,5.209276815626571E-06,0.9956224420947677
4.485,5.187631132821134E-06,0.9956308818068157
4.49,5.165719253722766E-06,0.9956393011457787
4.495,5.144304203063321E-06,0.995647694349124
4.5,5.123003757935443E-06,0.9956560579230953
4.505,5.1018171750604444E-06,0.9956644052730419
4.51,5.080364616239414E-06,0.9956727134626081
4.515,5.059402725126858E-06,0.9956810154609311
4.5200000000000005,5.038552498625108E-06,0.9956892683355235
4.525,5.017438100669971E-06,0.9956975212101159
4.53,4.99680823208953E-06,0.9957057232332034
4.535,4.9762878803722525E-06,0.9957139211710919
4.54,4.955505155373892E-06,0.9957220792795128
4.545,4.935200926038321E-06,0.9957302229578956
4.55,4.9150041144053195E-06,0.9957383376886861
4.555,4.894546721024764E-06,0.9957464274775328
4.5600000000000005,4.874561891971465E-06,0.9957544992377749
4.565,4.854682428791897E-06,0.995762535202818
4.57,4.834544168459509E-06,0.9957705643947629
4.575,4.814872641295918E-06,0.9957785472016423
4.58,4.795304474280435E-06,0.9957865300085216
4.585,4.775479287500125E-06,0.9957944645320973
4.59,4.756115100765036E-06,0.9958023945430314
4.595,4.736852313384474E-06,0.9958102878361219
4.6000000000000005,4.71733427611558E-06,0.9958181651128268
4.605,4.698271601755457E-06,0.995826017634113
4.61,4.67930840970933E-06,0.9958338425365741
4.615,4.660091729929984E-06,0.9958416548355344
4.62,4.6413248698623645E-06,0.9958494280127732
4.625,4.622655617695458E-06,0.9958572007141036
4.63,4.603734631991294E-06,0.9958649225182605
4.635,4.585258014764715E-06,0.9958726443224174
4.64,4.566877172574354E-06,0.9958803266420038
4.6450000000000005,4.548246342845542E-06,0.9958879971311445
4.65,4.530054520413348E-06,0.995895641054374
4.655,4.511956680642949E-06,0.9959032608666503
4.66,4.493610590937261E-06,0.9959108669104764
4.665,4.475698235518899E-06,0.9959184363906692
4.67,4.457878109832139E-06,0.9959260049943781
4.675,4.4398114632289445E-06,0.9959335241966397
4.68,4.422173364240497E-06,0.9959410433989012
4.6850000000000005,4.404625780524994E-06,0.9959485248575505
4.69,4.386833396144809E-06,0.9959559941245135
4.695,4.369464457253188E-06,0.9959634392877943
4.7,4.352184356662577E-06,0.9959708592419593
4.705,4.334992544014687E-06,0.9959782686050473
4.71,4.3175564029704575E-06,0.9959856395816269
4.715,4.300538837085401E-06,0.9959930105582063
4.72,4.2836079306805695E-06,0.9960003356318328
4.7250000000000005,4.266434419041037E-06,0.9960076576813893
4.73,4.249674547092981E-06,0.9960149479201538
4.735,4.2329997415057E-06,0.996022221375792
4.74,4.216084044146193E-06,0.9960294772910029
4.745,4.199577130332135E-06,0.9960367027601147
4.75,4.183153724208842E-06,0.9960439248506392
4.755,4.166491129960328E-06,0.9960511026591473
4.76,4.150232540824701E-06,0.9960582804676553
4.765,4.1340559342927595E-06,0.996065421580714
4.7700000000000005,4.117641833367272E-06,0.9960725517756116
4.775,4.1016270352405605E-06,0.9960796599842435
4.78,4.085692727407589E-06,0.9960867428893864
4.785,4.06952260886658E-06,0.9960938186229271
4.79,4.053747165436395E-06,0.9961008548311193
4.795,4.038050751923193E-06,0.9961078910393114
4.8,4.022120201261715E-06,0.9961148884444881
4.805,4.0065797711210735E-06,0.9961218782726324
4.8100000000000005,3.991116941709757E-06,0.9961288442802705
4.815,3.975421638462603E-06,0.9961357877718154
4.82,3.960111972819345E-06,0.9961427227081409
4.825,3.944878509098518E-06,0.9961496201779639
4.83,3.929414224578726E-06,0.996156517647787
4.835,3.9143311649511264E-06,0.9961633763966449
4.84,3.899322938114677E-06,0.9961702284234616
4.845,3.8840855331106654E-06,0.9961770573137584
4.8500000000000005,3.869225009149556E-06,0.9961838642057134
4.855,3.854437977767114E-06,0.9961906635454019
4.86,3.839423400413418E-06,0.9961974253424274
4.865,3.824781427721963E-06,0.996204187139453
4.87,3.8102116356479166E-06,0.996210912359173
4.875,3.7954159192844908E-06,0.9962176293674303
4.88,3.7809885973723916E-06,0.9962243260258283
4.885,3.766632171644959E-06,0.9962309988104239
4.89,3.7520514327716263E-06,0.9962376672927999
